date,close,volume
2019-04-21,5297.64,13731844223
2019-04-20,5319.89,13169647522
2019-04-19,5290.36,13780238655
2019-04-18,5280.49,13256489918
2019-04-17,5227.0,12438480677
2019-04-16,5202.9,11618660197
2019-04-15,5029.99,12290155061
2019-04-14,5164.27,10391952498
2019-04-13,5066.22,10823289598
2019-04-12,5078.19,13675206312
2019-04-11,5041.3,16555616019
2019-04-10,5318.58,15504590933
2019-04-09,5187.21,14722104361
2019-04-08,5285.54,17154113634
2019-04-07,5194.79,16655416140
2019-04-06,5049.22,16929795194
2019-04-05,5040.66,16837325387
2019-04-04,4906.49,18251810240
2019-04-03,4975.97,22899891582
2019-04-02,4901.93,21315047816
2019-04-01,4137.0,10157794171
2019-03-31,4094.99,9045122443
2019-03-30,4094.14,9732688060
2019-03-29,4091.01,10918665557
2019-03-28,4011.17,9353915899
2019-03-27,4026.53,10897131934
2019-03-26,3921.45,10707678815
2019-03-25,3907.53,10359818883
2019-03-24,3969.52,9144851065
2019-03-23,3983.43,9578850549
2019-03-22,3983.78,9252935969
2019-03-21,3972.76,10831212662
2019-03-20,4031.85,10175916388
2019-03-19,4000.85,9344919956
2019-03-18,3970.5,9646954186
2019-03-17,3967.01,8221625400
2019-03-16,3990.0,9856166973
2019-03-15,3902.8,9394210605
2019-03-14,3853.95,10480789570
2019-03-13,3851.02,9469184841
2019-03-12,3860.0,9809887079
2019-03-11,3849.68,10125901903
2019-03-10,3900.93,9713267607
2019-03-09,3917.0,10796103518
2019-03-08,3843.12,10638638944
2019-03-07,3857.05,9584165519
2019-03-06,3851.89,9175291529
2019-03-05,3844.59,10174126415
2019-03-04,3700.72,9029175788
2019-03-03,3786.93,7253558152
2019-03-02,3809.7,7578786076
2019-03-01,3806.17,7661247975
2019-02-28,3792.14,8399767798
2019-02-27,3799.91,8301309684
2019-02-26,3799.48,7931218996
2019-02-25,3818.79,9318796067
2019-02-24,3734.22,10794227451
2019-02-23,4110.0,8922258316
2019-02-22,3942.02,7826525254
2019-02-21,3897.71,7775128102
2019-02-20,3938.99,8693373948
2019-02-19,3888.01,9933626655
2019-02-18,3867.0,9908216640
2019-02-17,3625.08,7039512503
2019-02-16,3582.37,5934744052
2019-02-15,3566.59,6091952231
2019-02-14,3561.5,6271044418
2019-02-13,3576.68,6438903823
2019-02-12,3588.06,6480384532
2019-02-11,3590.36,6277056434
2019-02-10,3648.84,6282256903
2019-02-09,3623.73,6158833645
2019-02-08,3621.99,7735623101
2019-02-07,3359.0,5004962683
2019-02-06,3367.36,5482196038
2019-02-05,3428.4,5227549545
2019-02-04,3409.57,5332718886
2019-02-03,3414.78,5043937584
2019-02-02,3468.43,5071623601
2019-02-01,3437.5,5422926707
2019-01-31,3411.5,5831198271
2019-01-30,3437.55,5955112627
2019-01-29,3397.42,5897159493
2019-01-28,3429.95,6908930483
2019-01-27,3531.02,5570752966
2019-01-26,3556.07,5098183235
2019-01-25,3562.17,5265847539
2019-01-24,3568.97,5262869046
2019-01-23,3553.01,5433755649
2019-01-22,3577.03,5313623556
2019-01-21,3531.76,5004347059
2019-01-20,3536.19,5582489560
2019-01-19,3682.65,5955691380
2019-01-18,3607.85,5002961727
2019-01-17,3640.65,5464420383
2019-01-16,3609.71,5394457145
2019-01-15,3580.76,5537192302
2019-01-14,3664.19,5651384490
2019-01-13,3514.24,4681302466
2019-01-12,3619.41,4778170883
2019-01-11,3635.69,5538712865
2019-01-10,3626.12,6874143796
2019-01-09,4004.12,5115905225
2019-01-08,3993.86,5306593305
2019-01-07,4006.01,5228625637
2019-01-06,4040.99,5597027440
2019-01-05,3798.62,5137609824
2019-01-04,3820.25,4847965467
2019-01-03,3787.57,4530215219
2019-01-02,3890.79,5244856836
2019-01-01,3826.1,4324200990
2018-12-31,3691.86,4661840806
2018-12-30,3829.0,4770578575
2018-12-29,3729.31,4991655917
2018-12-28,3888.06,5631554348
2018-12-27,3589.89,5130222366
2018-12-26,3809.88,5326547918
2018-12-25,3780.0,6158207293
2018-12-24,4034.0,7240968501
2018-12-23,3944.93,6151275490
2018-12-22,3980.46,5605823233
2018-12-21,3839.06,7206015706
2018-12-20,4075.34,8927129279
2018-12-19,3682.51,6810689119
2018-12-18,3667.77,5911325473
2018-12-17,3496.82,5409247918
2018-12-16,3195.0,3744248994
2018-12-15,3183.0,3551763561
2018-12-14,3195.71,4372763663
2018-12-13,3265.0,4343372456
2018-12-12,3430.24,4139364829
2018-12-11,3349.36,4696765188
2018-12-10,3410.15,5020968740
2018-12-09,3531.18,4947372847
2018-12-08,3401.0,5305024497
2018-12-07,3380.01,6835615448
2018-12-06,3433.26,5878333109
2018-12-05,3694.39,5302481574
2018-12-04,3901.84,5028069239
2018-12-03,3833.47,5089570994
2018-12-02,4103.19,5262697895
2018-12-01,4142.01,5375314093
2018-11-30,3976.0,6048016717
2018-11-29,4248.0,6503347767
2018-11-28,4225.03,7280280000
2018-11-27,3775.0,5998720000
2018-11-26,3731.32,6476900000
2018-11-25,3936.69,6825640000
2018-11-24,3774.99,4679500000
2018-11-23,4283.8,4871490000
2018-11-22,4265.36,4569370000
2018-11-21,4545.11,6120120000
2018-11-20,4349.23,8428290000
2018-11-19,4733.5,7039560000
2018-11-18,5560.0,4159680000
2018-11-17,5504.17,4303150000
2018-11-16,5512.24,5279320000
2018-11-15,5579.52,7032140000
2018-11-14,5605.46,7398940000
2018-11-13,6259.34,4503800000
2018-11-12,6327.87,4295770000
2018-11-11,6357.6,3939060000
2018-11-10,6347.42,3705320000
2018-11-09,6334.89,4346820000
2018-11-08,6406.24,4665260000
2018-11-07,6503.12,4941260000
2018-11-06,6448.5,4700040000
2018-11-05,6404.0,4174800000
2018-11-04,6423.28,4390020000
2018-11-03,6331.96,3658640000
2018-11-02,6349.8,4234870000
2018-11-01,6344.0,3789400000
2018-10-31,6304.18,4191240000
2018-10-30,6267.63,3781100000
2018-10-29,6266.0,4199910000
2018-10-28,6403.62,3445190000
2018-10-27,6409.12,3393250000
2018-10-26,6404.87,3306050000
2018-10-25,6395.58,3230550000
2018-10-24,6415.98,3424670000
2018-10-23,6395.14,3716150000
2018-10-22,6407.65,3672860000
2018-10-21,6415.88,3253610000
2018-10-20,6414.0,3379130000
2018-10-19,6382.99,3578870000
2018-10-18,6394.96,3924080000
2018-10-17,6443.7,4088420000
2018-10-16,6457.11,4074800000
2018-10-15,6440.42,7370770000
2018-10-14,6183.49,3085320000
2018-10-13,6196.0,3064030000
2018-10-12,6188.01,3783500000
2018-10-11,6154.69,5181640000
2018-10-10,6524.56,3787650000
2018-10-09,6589.48,3580810000
2018-10-08,6608.07,3979460000
2018-10-07,6570.0,3306630000
2018-10-06,6552.43,3259740000
2018-10-05,6593.94,3671500000
2018-10-04,6547.45,3838410000
2018-10-03,6466.03,3887310000
2018-10-02,6498.46,3979260000
2018-10-01,6572.83,4000970000
2018-09-30,6605.0,4002280000
2018-09-29,6581.0,4363690000
2018-09-28,6620.01,5014430000
2018-09-27,6680.01,4606810000
2018-09-26,6455.66,4437300000
2018-09-25,6436.89,4726180000
2018-09-24,6582.09,4177310000
2018-09-23,6696.99,4197500000
2018-09-22,6707.33,4509660000
2018-09-21,6750.0,6531940000
2018-09-20,6493.11,4348110000
2018-09-19,6386.94,4431340000
2018-09-18,6335.7,4180090000
2018-09-17,6250.7,3910780000
2018-09-16,6498.0,3273730000
2018-09-15,6518.68,3216300000
2018-09-14,6478.04,4076220000
2018-09-13,6485.99,4210910000
2018-09-12,6326.0,4064230000
2018-09-11,6282.53,3849910000
2018-09-10,6300.0,3714100000
2018-09-09,6235.01,3671890000
2018-09-08,6188.0,3835060000
2018-09-07,6395.01,4264680000
2018-09-06,6495.0,5523470000
2018-09-05,6687.96,5800460000
2018-09-04,7360.0,4273640000
2018-09-03,7256.98,4087760000
2018-09-02,7295.0,4329540000
2018-09-01,7191.08,4116050000
2018-08-31,7015.01,4495650000
2018-08-30,6983.0,4463250000
2018-08-29,7030.9,4145880000
2018-08-28,7071.01,4659940000
2018-08-27,6911.9,4019000000
2018-08-26,6709.98,3295500000
2018-08-25,6737.52,3312600000
2018-08-24,6690.88,4097820000
2018-08-23,6526.36,3426180000
2018-08-22,6359.99,4668110000
2018-08-21,6475.89,3377180000
2018-08-20,6258.74,3665100000
2018-08-19,6489.53,3311170000
2018-08-18,6396.64,3984520000
2018-08-17,6585.49,4992990000
2018-08-16,6315.9,4328420000
2018-08-15,6269.01,4895450000
2018-08-14,6195.01,5301700000
2018-08-13,6253.67,4083980000
2018-08-12,6316.01,5665250000
2018-08-11,6235.56,4047850000
2018-08-10,6146.01,4528680000
2018-08-09,6546.45,4267040000
2018-08-08,6282.5,5064430000
2018-08-07,6718.22,4682800000
2018-08-06,6938.0,3925900000
2018-08-05,7030.01,3679110000
2018-08-04,7005.0,4268390000
2018-08-03,7414.08,4627150000
2018-08-02,7533.92,4214110000
2018-08-01,7603.99,4797620000
2018-07-31,7727.27,5287530000
2018-07-30,8170.01,5551400000
2018-07-29,8216.34,4107190016
2018-07-28,8228.9,3988750080
2018-07-27,8184.21,5195879936
2018-07-26,7931.99,4899089920
2018-07-25,8157.15,5845400064
2018-07-24,8385.5,7277689856
2018-07-23,7720.09,5132480000
2018-07-22,7397.8,3695460096
2018-07-21,7408.0,3726609920
2018-07-20,7334.46,4936869888
2018-07-19,7470.01,5111629824
2018-07-18,7378.99,6103410176
2018-07-17,7315.01,5961950208
2018-07-16,6728.81,4725799936
2018-07-15,6348.73,3285459968
2018-07-14,6248.65,2923670016
2018-07-13,6216.29,3805400064
2018-07-12,6249.75,3770170112
2018-07-11,6390.04,3644859904
2018-07-10,6303.7,4052430080
2018-07-09,6664.01,3718129920
2018-07-08,6701.97,3386210048
2018-07-07,6753.28,3961080064
2018-07-06,6600.0,4313959936
2018-07-05,6532.95,4999240192
2018-07-04,6587.47,4176689920
2018-07-03,6502.62,4672309760
2018-07-02,6611.79,4396930048
2018-07-01,6349.5,4788259840
2018-06-30,6383.19,4543860224
2018-06-29,6202.36,3966230016
2018-06-28,5851.66,3467800064
2018-06-27,6132.17,3296219904
2018-06-26,6074.95,3279759872
2018-06-25,6246.0,5500810240
2018-06-24,6149.99,4566909952
2018-06-23,6178.29,3431360000
2018-06-22,6059.82,5079810048
2018-06-21,6719.01,3529129984
2018-06-20,6756.1,3888640000
2018-06-19,6736.41,4057029888
2018-06-18,6709.02,4039200000
2018-06-17,6447.16,3104019968
2018-06-16,6484.29,3194170112
2018-06-15,6391.22,3955389952
2018-06-14,6638.49,5138710016
2018-06-13,6302.32,5052349952
2018-06-12,6544.99,4654380032
2018-06-11,6881.0,4745269760
2018-06-10,6770.31,5804839936
2018-06-09,7496.4,3845220096
2018-06-08,7618.8,4227579904
2018-06-07,7684.93,4485799936
2018-06-06,7655.0,4692259840
2018-06-05,7612.51,4961739776
2018-06-04,7487.37,4993169920
2018-06-03,7706.37,4851760128
2018-06-02,7636.42,4939299840
2018-06-01,7514.32,4921460224
2018-05-31,7485.0,5127130112
2018-05-30,7380.01,4922540032
2018-05-29,7460.0,5662660096
2018-05-28,7107.94,5040600064
2018-05-27,7346.64,4056519936
2018-05-26,7337.95,4051539968
2018-05-25,7459.11,4867829760
2018-05-24,7584.15,6049220096
2018-05-23,7505.0,6491120128
2018-05-22,7987.7,5137010176
2018-05-21,8393.44,5154990080
2018-05-20,8516.86,5191059968
2018-05-19,8235.6,4712399872
2018-05-18,8238.51,5764190208
2018-05-17,8059.0,5862530048
2018-05-16,8344.01,6760220160
2018-05-15,8477.46,6705710080
2018-05-14,8670.0,7364149760
2018-05-13,8686.1,5866379776
2018-05-12,8475.0,6821380096
2018-05-11,8403.33,8488520192
2018-05-10,9010.51,6906699776
2018-05-09,9300.08,7226890240
2018-05-08,9177.81,7415869952
2018-05-07,9356.25,7394019840
2018-05-06,9600.0,7222280192
2018-05-05,9800.0,7651939840
2018-05-04,9685.0,8217829888
2018-05-03,9725.74,10207299584
2018-05-02,9190.48,7558159872
2018-05-01,9072.29,7713019904
2018-04-30,9243.83,8673920000
2018-04-29,9389.01,8853000192
2018-04-28,9329.99,7805479936
2018-04-27,8922.55,7566289920
2018-04-26,9272.12,8970559488
2018-04-25,8865.98,11083100160
2018-04-24,9645.1,10678800384
2018-04-23,8931.3,6925190144
2018-04-22,8795.01,6629899776
2018-04-21,8915.42,7548550144
2018-04-20,8866.27,8438110208
2018-04-19,8274.0,7063209984
2018-04-18,8152.05,6529909760
2018-04-17,7892.1,6900879872
2018-04-16,8048.93,5631309824
2018-04-15,8355.25,5244480000
2018-04-14,8003.11,5191430144
2018-04-13,7893.19,7764460032
2018-04-12,7916.0,8906250240
2018-04-11,6942.99,4641889792
2018-04-10,6824.99,4272750080
2018-04-09,6771.13,4894060032
2018-04-08,7020.01,3652499968
2018-04-07,6894.01,3976610048
2018-04-06,6619.01,3766810112
2018-04-05,6785.85,5639320064
2018-04-04,6791.68,4936000000
2018-04-03,7424.9,5499700224
2018-04-02,7045.01,4333440000
2018-04-01,6816.01,4532100096
2018-03-31,6928.5,4553269760
2018-03-30,6848.01,6289509888
2018-03-29,7079.99,6361229824
2018-03-28,7942.72,4935289856
2018-03-27,7793.61,5378250240
2018-03-26,8145.0,5921039872
2018-03-25,8452.96,4569880064
2018-03-24,8531.34,5664600064
2018-03-23,8927.1,5954120192
2018-03-22,8715.09,5530390016
2018-03-21,8891.81,6043129856
2018-03-20,8900.0,6361789952
2018-03-19,8589.0,6729110016
2018-03-18,8192.0,6639190016
2018-03-17,7865.02,4426149888
2018-03-16,8275.0,5289379840
2018-03-15,8259.99,6834429952
2018-03-14,8207.03,6438230016
2018-03-13,9145.41,5991139840
2018-03-12,9120.0,6457399808
2018-03-11,9533.88,6296370176
2018-03-10,8795.44,5386319872
2018-03-09,9255.0,8704190464
2018-03-08,9304.9,7186089984
2018-03-07,9920.0,8797910016
2018-03-06,10700.0,6832169984
2018-03-05,11377.54,6468539904
2018-03-04,11469.9,6084149760
2018-03-03,11432.5,6690570240
2018-03-02,11000.0,7620590080
2018-03-01,10895.92,7317279744
2018-02-28,10307.27,6936189952
2018-02-27,10566.57,6966179840
2018-02-26,10300.0,7287690240
2018-02-25,9597.99,5706939904
2018-02-24,9688.62,6917929984
2018-02-23,10144.99,7739500032
2018-02-22,9830.0,8040079872
2018-02-21,10454.27,9405339648
2018-02-20,11235.57,9926540288
2018-02-19,11140.0,7652089856
2018-02-18,10380.04,8744009728
2018-02-17,11121.5,8660880384
2018-02-16,10167.49,7296159744
2018-02-15,10031.23,9062540288
2018-02-14,9472.98,7909819904
2018-02-13,8520.01,5696719872
2018-02-12,8872.28,6256439808
2018-02-11,8072.99,6122189824
2018-02-10,8547.49,7780960256
2018-02-09,8671.01,6784820224
2018-02-08,8218.1,9346750464
2018-02-07,7575.75,9169280000
2018-02-06,7688.46,13999800320
2018-02-05,6905.19,9285289984
2018-02-04,8167.91,7073549824
2018-02-03,9240.0,7263790080
2018-02-02,8787.52,12726899712
2018-02-01,9014.23,9959400448
2018-01-31,10099.99,8041160192
2018-01-30,9995.0,8637859840
2018-01-29,11123.01,7107359744
2018-01-28,11536.0,8350360064
2018-01-27,11319.0,7583269888
2018-01-26,11086.89,9746199552
2018-01-25,11118.0,8873169920
2018-01-24,11356.79,9940989952
2018-01-23,10824.94,9660609536
2018-01-22,10766.7,10537400320
2018-01-21,11518.17,9935179776
2018-01-20,12762.8,11801700352
2018-01-19,11498.99,10740400128
2018-01-18,11305.53,15020399616
2018-01-17,11200.01,18830600192
2018-01-16,11570.01,18853799936
2018-01-15,13590.0,12750799872
2018-01-14,13656.23,11084099584
2018-01-13,14187.95,12763599872
2018-01-12,13820.0,12065699840
2018-01-11,13308.06,16534099968
2018-01-10,14875.18,18500800512
2018-01-09,14480.99,16659999744
2018-01-08,14993.74,18413899776
2018-01-07,16174.22,15866000384
2018-01-06,17098.99,18314600448
2018-01-05,16960.01,23840899072
2018-01-04,15144.99,21783199744
2018-01-03,15098.14,16871900160
2018-01-02,14781.51,16846600192
2018-01-01,13480.01,10291200000
2017-12-31,13863.13,12136299520
2017-12-30,12839.99,14452599808
2017-12-29,14565.05,13025500160
2017-12-28,14450.01,12336499712
2017-12-27,15367.08,12487600128
2017-12-26,15790.88,13454300160
2017-12-25,14171.98,10664699904
2017-12-24,14221.94,11572299776
2017-12-23,15075.89,13086000128
2017-12-22,14210.57,22197999616
2017-12-21,15758.8,16516599808
2017-12-20,16496.89,22149699584
2017-12-19,17838.73,16894499840
2017-12-18,19039.01,14839499776
2017-12-17,19378.99,13314599936
2017-12-16,19650.01,12740599808
2017-12-15,17738.67,14309999616
2017-12-14,16749.78,13777399808
2017-12-13,16689.61,12976900096
2017-12-12,17730.12,14603799552
