date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2004-01-06,10543.849609,10549.179688,10499.849609,10538.660156,10538.660156,191460000,191460000,-5.18945,-0.04921782,10529.23,"January 06, 04",-0.0004921782
2004-01-07,10535.459961,10539.459961,10466.290039,10529.030273,10529.030273,225490000,225490000,-6.42969,-0.06102902,10511.59,"January 07, 04",-0.0006102902
2004-01-08,10530.070313,10592.589844,10530.070313,10592.44043,10592.44043,237770000,237770000,62.37012,0.5923,10571.7,"January 08, 04",0.005923
2004-01-09,10589.25,10589.25,10448.669922,10458.889648,10458.889648,223250000,223250000,-130.36035,-1.23,10498.94,"January 09, 04",-0.0123
2004-01-12,10461.549805,10491.629883,10444.150391,10485.179688,10485.179688,197960000,197960000,23.62988,0.22587,10473.65,"January 12, 04",0.0022587
2004-01-13,10485.179688,10509.849609,10367.410156,10427.179688,10427.179688,197310000,197310000,-58.0,-0.55316,10434.81,"January 13, 04",-0.0055316
2004-01-14,10428.669922,10548.509766,10428.669922,10538.370117,10538.370117,186280000,186280000,109.7002,1.05,10505.18,"January 14, 04",0.0105
2004-01-15,10534.519531,10592.740234,10477.179688,10553.849609,10553.849609,260090000,260090000,19.33008,0.18349,10541.26,"January 15, 04",0.0018349
2004-01-16,10556.370117,10600.740234,10542.519531,10600.509766,10600.509766,254170000,254170000,44.13965,0.41813,10581.26,"January 16, 04",0.0041813
2004-01-20,10601.400391,10616.959961,10519.490234,10528.660156,10528.660156,224300000,224300000,-72.74023,-0.68614,10555.04,"January 20, 04",-0.0068614
2004-01-21,10522.769531,10643.549805,10490.959961,10623.620117,10623.620117,214920000,214920000,100.85059,0.9584,10586.04,"January 21, 04",0.009584
2004-01-22,10624.219727,10660.879883,10607.400391,10623.179688,10623.179688,219720000,219720000,-1.04004,-0.00978932,10630.49,"January 22, 04",-9.78932e-05
2004-01-23,10625.25,10643.480469,10523.849609,10568.290039,10568.290039,234260000,234260000,-56.95996,-0.53608,10578.54,"January 23, 04",-0.0053608
2004-01-26,10568.0,10705.179688,10561.849609,10702.509766,10702.509766,186170000,186170000,134.50977,1.27,10656.51,"January 26, 04",0.0127
2004-01-27,10701.099609,10701.769531,10609.919922,10609.919922,10609.919922,206560000,206560000,-91.17969,-0.85206,10640.54,"January 27, 04",-0.0085206
2004-01-28,10610.070313,10658.429688,10437.780273,10468.370117,10468.370117,247660000,247660000,-141.7002,-1.34,10521.53,"January 28, 04",-0.0134
2004-01-29,10467.410156,10522.589844,10417.849609,10510.290039,10510.290039,273970000,273970000,42.87988,0.40965,10483.58,"January 29, 04",0.0040965
2004-01-30,10510.219727,10510.80957,10438.959961,10488.070313,10488.070313,208990000,208990000,-22.14941,-0.21074,10479.28,"January 30, 04",-0.0021074
2004-02-02,10487.780273,10568.959961,10434.669922,10499.179688,10499.179688,224800000,224800000,11.39941,0.10869,10500.94,"February 02, 04",0.0010869
2004-02-03,10499.480469,10528.959961,10457.110352,10505.179688,10505.179688,183810000,183810000,5.69922,0.05428096,10497.08,"February 03, 04",0.0005428096
2004-02-04,10503.110352,10524.219727,10447.179688,10470.740234,10470.740234,227760000,227760000,-32.37012,-0.3082,10480.71,"February 04, 04",-0.003082
2004-02-05,10469.330078,10522.519531,10453.549805,10495.549805,10495.549805,187810000,187810000,26.21973,0.25044,10490.54,"February 05, 04",0.0025044
2004-02-06,10494.889648,10593.400391,10464.519531,10593.030273,10593.030273,182880000,182880000,98.14063,0.93513,10550.32,"February 06, 04",0.0093513
